,Sr90,Cs137,Nd143,Nd144,Nd145,Nd146,Nd147,Nd148,Nd150
C1,0.0014861,0.0016991,0.0013823,0.001276,0.00097696,0.00079095,0.00062539,0.00049911,0.00022425
C2,0.0014864,0.0016995,0.0013826,0.0012764,0.00097723,0.00079116,0.00062556,0.00049925,0.00022432
S1,0.0005934,0.00062325,0.00038788,0.00037033,0.00026744,0.00024771,0.00015465,0.00014863,8.92E-05
S2,0.00059185,0.00069341,0.00049725,0.00047699,0.00041763,0.00038723,0.0001742,0.00020622,0.0001283
